0,2.922272
1,2.45854
2,2.080962
3,2.172158
4,2.254877
5,2.345485
6,2.465333
7,2.550057
8,2.507138
9,2.426787
10,2.517483
11,2.756754
12,2.401937
13,2.359449
14,2.553917
15,3.09729
16,2.851974
17,2.9206090000000002
18,2.977953
19,2.84111
20,2.892769
21,2.773788
22,2.8125839999999998
23,2.66569
24,3.119299
25,2.830076
26,2.640671
27,2.623443
28,2.5804359999999997
29,2.5498529999999997
30,2.575843
31,2.593778
32,2.5208459999999997
33,2.443458
34,2.367056
35,2.277685
36,2.160877
37,2.035785
38,2.027924
39,2.6140179999999997
40,3.5129599999999996
